abstract,article_type,journal,publication_date,title
"<p>The IPCC 2013 Wetlands Supplement provided new guidance for countries on inclusion of wetlands in their National GHG Inventories. The United States has responded by including managed coastal wetlands for the first time in its 2017 GHG Inventory report along with an updated time series in the most recent 2018 submission and plans to update the time series on an annual basis as part of its yearly submission to the United Nations Framework Convention on Climate Change (UNFCCC). The United States followed IPCC Good Practice Guidance when reporting sources and sinks associated with managed coastal wetlands. Here we show that intact vegetated coastal wetlands are a net sink for GHGs. Despite robust regulation that has protected substantial stocks of carbon, the United States continues to lose coastal wetlands to development and the largest loss of wetlands to open water occurs around the Mississippi Delta due mostly to upstream changes in hydrology and sediment delivery, and oil and gas extraction. These processes create GHG emissions. By applying comprehensive Inventory reporting, scientists in the United States have identified opportunities for reducing GHG emissions through restoration of coastal wetlands that also provide many important societal co-benefits.</p>",Article,Nature Climate Change,19 November 2018,Coastal wetland management as a contribution to the US National Greenhouse Gas Inventory
"<p>Food production is a major cause of energy use and GHG emissions, and therefore diet change is an important behavioural strategy for reducing associated environmental impacts. However, a severe obstacle to diet change may be consumers’ underestimation of the environmental impacts of different types of food. Here we show that energy consumption and GHG emission estimates are significantly underestimated for foods, suggesting a possible blind spot suitable for intervention. In a second study, we find that providing consumers with information regarding the GHG emissions associated with the life cycle of food, presented in terms of a familiar reference unit (light-bulb minutes), shifts their actual purchase choices away from higher-emission options. Thus, although consumers’ poor understanding of the food system is a barrier to reducing energy use and GHG emissions, it also represents a promising area for simple interventions such as a well-designed carbon label.</p>",Article,Nature Climate Change,17 December 2018,Consumers underestimate the emissions associated with food but are aided by labels
"<p>Agricultural methane and nitrous oxide emissions represent around 10–12% of total anthropogenic GHG emissions and have a key role to play in achieving a 1.5 °C (above pre-industrial) climate stabilization target. Using a multi-model assessment approach, we quantify the potential contribution of agriculture to the 1.5 °C target and decompose the mitigation potential by emission source, region and mitigation mechanism. The results show that the livestock sector will be vital to achieve emission reductions consistent with the 1.5 °C target mainly through emission-reducing technologies or structural changes. Agriculture may contribute emission reductions of 0.8–1.4 Gt of CO<sub>2</sub>-equivalent (CO<sub>2</sub>e) yr<sup>−1</sup> at just US$20 per tCO<sub>2</sub>e in 2050. Combined with dietary changes, emission reductions can be increased to 1.7–1.8 GtCO<sub>2</sub>e yr<sup>−1</sup>. At carbon prices compatible with the 1.5 °C target, agriculture could even provide average emission savings of 3.9 GtCO2e yr<sup>−1</sup> in 2050, which represents around 8% of current GHG emissions.</p>",Article,Nature Climate Change,17 December 2018,Agricultural non-CO
"<p>Observed Southern Ocean surface cooling and sea-ice expansion over the past several decades are inconsistent with many historical simulations from climate models. Here we show that natural multidecadal variability involving Southern Ocean convection may have contributed strongly to the observed temperature and sea-ice trends. These observed trends are consistent with a particular phase of natural variability of the Southern Ocean as derived from climate model simulations. Ensembles of simulations are conducted starting from differing phases of this variability. The observed spatial pattern of trends is reproduced in simulations that start from an active phase of Southern Ocean convection. Simulations starting from a neutral phase do not reproduce the observed changes, similarly to the multimodel mean results of CMIP5 models. The long timescales associated with this natural variability show potential for skilful decadal prediction.</p>",Article,Nature Climate Change,03 December 2018,Natural variability of Southern Ocean convection as a driver of observed climate trends
"<p>Soil organic matter can release carbon dioxide to the atmosphere as the climate warms. Organic matter sorbed to reactive (iron- and aluminium-bearing) soil minerals is an important mechanism for long-term carbon storage. However, the global distribution of mineral-stored carbon across climate zones and consequently its overall contribution to the global soil carbon pool is poorly known. We measured carbon held by reactive minerals across a broad range of climates. Carbon retained by reactive minerals was found to contribute between 3 and 72% of organic carbon found in mineral soil, depending on mean annual precipitation and potential evapotranspiration. Globally, we estimate ~600 Gt of soil carbon is retained by reactive minerals, with most occurring in wet forested biomes. For many biomes, the fraction of organic carbon retained by reactive minerals is responsive to slight shifts in effective moisture, suggesting high sensitivity to future changes in climate.</p>",Article,Nature Climate Change,26 November 2018,Climate-driven thresholds in reactive mineral retention of soil carbon at the global scale
"<p>Accounting for within-species variability in the relationship between occurrence and climate is essential to forecasting species’ responses to climate change. Few climate-vulnerability assessments explicitly consider intraspecific variation, and those that do typically assume that variability is best explained by genetic affinity. Here, we evaluate how well heterogeneity in responses to climate by a cold-adapted mammal, the American pika (<i>Ochotona princeps</i>), aligns with subdivisions of the geographic range by phylogenetic lineage, physiography, elevation or ecoregion. We find that variability in climate responses is most consistently explained by an ecoregional subdivision paired with background sites selected from a broad spatial extent indicative of long-term (millennial-scale) responses to climate. Our work challenges the common assumption that intraspecific variation in climate responses aligns with genetic affinity. Accounting for the appropriate context and scale of heterogeneity in species’ responses to climate will be critical for informing climate-adaptation management strategies at the local (spatial) extents at which such actions are typically implemented.</p>",Article,Nature Climate Change,23 September 2019,Alternatives to genetic affinity as a context for within-species response to climate
"<p>Elevated CO<sub>2</sub> concentrations increase photosynthesis and, potentially, net ecosystem production (NEP), meaning a greater CO<sub>2</sub> uptake. Climate, nutrients and ecosystem structure, however, influence the effect of increasing CO<sub>2</sub>. Here we analysed global NEP from MACC-II and Jena CarboScope atmospheric inversions and ten dynamic global vegetation models (TRENDY), using statistical models to attribute the trends in NEP to its potential drivers: CO<sub>2</sub>, climatic variables and land-use change. We found that an increased CO<sub>2</sub> was consistently associated with an increased NEP (1995–2014). Conversely, increased temperatures were negatively associated with NEP. Using the two atmospheric inversions and TRENDY, the estimated global sensitivities for CO<sub>2</sub> were 6.0 ± 0.1, 8.1 ± 0.3 and 3.1 ± 0.1 PgC per 100 ppm (~1 °C increase), and −0.5 ± 0.2, −0.9 ± 0.4 and −1.1 ± 0.1 PgC °C<sup>−1</sup> for temperature. These results indicate a positive CO<sub>2</sub> effect on terrestrial C sinks that is constrained by climate warming.</p>",Article,Nature Climate Change,17 December 2018,Global trends in carbon sinks and their relationships with CO
"<p>Climate change and urban development are projected to substantially warm US cities, yet dynamic interaction between these two drivers of urban heat may modify the warming. Here, we show that business-as-usual GHG-induced warming and corresponding urban expansion would interact nonlinearly, reducing summer night-time warming by 0.5 K over the twenty-first century in most US regions. Nevertheless, large projected warming remains, particularly at night when the degree of urban expansion warming approaches that of climate change. Joint, high-intensity implementation of adaptation strategies, including cool and evaporative roofs and street trees, decreases projected daytime mean and extreme heat, but region- and emissions scenario-dependent nocturnal warming of 2–7 K persists. A novel adaptation strategy—lightweight urban materials—yields ~1 K night-time cooling and minor daytime warming in denser areas. Our findings highlight the diurnal interplay of urban warming and adaptation cooling, and underscore the inability of infrastructure-based adaptation to offset projected night-time warming, and the consequent necessity for simultaneous emissions reductions.</p>",Article,Nature Climate Change,12 November 2018,"Diurnal interaction between urban expansion, climate change and adaptation in US cities"
"<p>Adaptation behaviour is of critical importance to reduce or avoid negative impacts of climate change. Many studies have examined which factors motivate individuals to adapt. However, a comprehensive overview of the key motivating factors of various adaptation behaviours is lacking. Here, we conduct a series of meta-analyses using data from 106 studies (90 papers) conducted in 23 different countries to examine how 13 motivational factors relate to various adaptation behaviours. Descriptive norms, negative affect, perceived self-efficacy and outcome efficacy of adaptive actions were most strongly associated with adaptive behaviour. In contrast, knowledge and experience, which are often assumed to be key barriers to adaptation, were relatively weakly related to adaptation. Research has disproportionally focused on studying experience and risk perception, flooding and hurricanes, and preparedness behaviours, while other motivational factors, hazards and adaptive behaviours have been understudied. These results point to important avenues for future research.</p>",Article,Nature Climate Change,14 January 2019,Meta-analyses of factors motivating climate change adaptation behaviour
"<p>Interventions to reduce greenhouse gas emissions strive to promote gender balance so that men and women have equal rights to participate in, and benefit from, decision-making about such interventions. One conventional way to achieve gender balance is to introduce gender quotas. Here we show that gender quotas make interventions more effective and lead to more equal sharing of intervention benefits. We conducted a randomized ‘lab’-in-the-field experiment in which 440 forest users from Indonesia, Peru and Tanzania made decisions about extraction and conservation in a forest common. We randomly assigned a gender quota to half of the participating groups, requiring that at least 50% of group members were women. Groups with the gender quota conserved more trees as a response to a ‘payment for ecosystem services’ intervention and shared the payment more equally. We attribute this effect to the gender composition of the group, not the presence of female leaders.</p>",Article,Nature Climate Change,18 March 2019,Gender quotas increase the equality and effectiveness of climate policy interventions
